"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 04 11:00:56 GMT 2022","Tue Oct 04 11:01:08 GMT 2022","11660","","Find price for SMS API for Ukraine","","Find price for SMS API for Ukraine","Should to show price for SIM for Ukraine in usd","Should to show price for SIM for Ukraine in usd",""
"passed","Tue Oct 04 11:01:30 GMT 2022","Tue Oct 04 11:01:40 GMT 2022","9431","","Login negative tests","","Login negative tests","Login with invalid email","Login with invalid email",""
"passed","Tue Oct 04 11:03:05 GMT 2022","Tue Oct 04 11:03:07 GMT 2022","2480","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow products","should open pop-upwindow products",""
"passed","Tue Oct 04 11:03:07 GMT 2022","Tue Oct 04 11:03:10 GMT 2022","3043","","Verify tabs on home page without login","","Verify tabs on home page without login","should click on network tab and redirected to network page","should click on network tab and redirected to network page",""
"passed","Tue Oct 04 11:02:55 GMT 2022","Tue Oct 04 11:02:58 GMT 2022","3094","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow pricing","should open pop-upwindow pricing",""
"passed","Tue Oct 04 11:02:58 GMT 2022","Tue Oct 04 11:03:00 GMT 2022","2191","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow solutions","should open pop-upwindow solutions",""
"passed","Tue Oct 04 11:03:00 GMT 2022","Tue Oct 04 11:03:03 GMT 2022","2192","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow resources","should open pop-upwindow resources",""
"passed","Tue Oct 04 11:02:10 GMT 2022","Tue Oct 04 11:02:20 GMT 2022","10214","","Verify home page button","","Verify home page button","Should click about us button then home page button","Should click about us button then home page button",""
"passed","Tue Oct 04 11:01:08 GMT 2022","Tue Oct 04 11:01:22 GMT 2022","13815","","Find price for SMS API for Ukraine","","Find price for SMS API for Ukraine","Check if the price for SMS API for Ukrain will change in Euro.","Check if the price for SMS API for Ukrain will change in Euro.",""
"passed","Tue Oct 04 11:03:03 GMT 2022","Tue Oct 04 11:03:05 GMT 2022","2207","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow company","should open pop-upwindow company",""
"passed","Tue Oct 04 11:01:40 GMT 2022","Tue Oct 04 11:01:46 GMT 2022","6420","","Login negative tests","","Login negative tests","Login with invalid password","Login with invalid password",""
"passed","Tue Oct 04 11:02:25 GMT 2022","Tue Oct 04 11:02:32 GMT 2022","7121","","Verify saving calculator","","Verify saving calculator","Should verify saving calculator with messaging API","Should verify saving calculator with messaging API",""
"passed","Tue Oct 04 11:02:40 GMT 2022","Tue Oct 04 11:02:47 GMT 2022","6609","","Verify search input on blog page","","Verify search input on blog page","Should click on blog button on the resources drop down menu and enter Number pool to search input","Should click on blog button on the resources drop down menu and enter Number pool to search input",""
"passed","Tue Oct 04 11:01:50 GMT 2022","Tue Oct 04 11:02:06 GMT 2022","15555","","Verify clickability buttons","","Verify clickability buttons","Should verify clickability buttons on contact center page","Should verify clickability buttons on contact center page",""
